customer_id,customer_name,age,monthly_income,monthly_expense,existing_emi,avg_balance,credit_score,digital_transactions,loan_inquiries,salary_consistency,property_interest,vehicle_interest,conversion
123,Kim Gardner,40,70000,27730,15219,338335,761,217,2,0.7,0,1,0
124,Andrew Nunez,48,70000,46732,10088,283669,725,167,0,0.68,1,0,0
125,Randy Francis,45,30000,19467,359,230733,757,197,1,0.72,1,0,0
126,Lauren Davis,39,100000,50636,24411,772799,652,187,2,0.71,0,1,0
127,Patrick James,31,100000,54680,7755,309058,809,39,0,0.62,0,0,0
128,William Stout,47,40000,18119,1356,142411,687,245,4,0.93,1,0,0
129,James Gardner,32,70000,39208,1155,548478,826,237,4,0.9,0,0,1
130,Mr. William Butler Jr.,27,200000,101727,6243,1030534,825,185,4,0.73,0,0,0
131,Robert Kerr,44,150000,89773,1802,735217,673,54,3,0.69,0,1,0
132,Mark Weaver,39,30000,11786,3176,141426,758,200,3,0.67,1,1,0
133,Matthew Morgan,56,40000,18287,9122,231962,802,162,1,0.61,0,0,0
134,Roberto Montgomery,33,200000,148894,41042,737772,838,265,0,0.86,1,1,1
135,Joshua Wilson,29,50000,34531,10797,222032,777,230,2,0.61,0,0,0
136,Brandi Harrison,49,40000,28637,3354,308543,816,159,2,0.85,1,0,1
137,Beverly Anderson,31,200000,134042,42282,1162317,792,61,0,0.61,1,1,0
138,Ann Frost,55,50000,20498,6719,272737,743,193,4,0.99,0,0,1
139,Annette Deleon,32,100000,69131,21403,259542,761,191,0,0.64,0,0,0
140,Scott Simmons,37,50000,22266,9924,245944,733,215,1,0.7,1,0,0
141,Robert Campbell,37,150000,82081,3072,476382,758,210,2,0.75,1,0,0
142,Laura Hall,30,50000,37371,2186,301793,716,200,3,0.87,0,0,0
143,Kelly Herrera,35,50000,30273,1765,376188,725,175,3,0.6,1,0,0
144,Nathaniel Palmer,23,200000,141517,45989,513819,755,77,0,0.9,0,0,1
145,Mark Martin,39,50000,18748,4799,233332,681,216,0,0.77,1,0,0
146,Brian Chen,40,30000,15615,3317,180360,844,31,1,0.62,0,0,0
147,Ashley Porter,48,70000,34489,2874,351562,669,189,3,0.85,0,0,0
148,Ricardo Martin,56,40000,17332,2052,125484,728,92,1,0.95,1,0,1
149,Michael Lewis,43,150000,88536,2342,949102,815,231,1,0.99,0,1,1
150,William Hess,44,200000,72067,11088,1336565,743,244,1,0.94,0,0,1
151,Larry Coleman,49,50000,26698,7587,156549,762,184,4,0.71,0,0,0
152,Brian Thompson,39,30000,21451,6553,150327,799,65,0,0.79,0,0,0
153,Noah Osborn,21,70000,51735,5002,169866,661,189,1,0.88,0,0,0
154,Shannon Hess,40,40000,26683,2791,235127,685,222,3,0.65,1,0,0
155,Derek Martinez,56,70000,49791,1724,237473,799,165,3,0.65,0,0,0
156,Michael Hunter,35,50000,25657,3592,267363,690,234,3,0.78,1,0,0
157,Craig White II,25,200000,92846,48080,775413,756,164,0,0.64,0,0,0
158,Evan Conrad,41,40000,16671,1211,100498,759,134,1,0.72,0,0,0
159,Diana Singh,30,200000,144538,10343,829862,812,272,0,0.96,1,0,1
160,Jeffrey Elliott,46,150000,91744,19184,443032,737,230,0,0.79,0,1,0
161,Cristina Silva,58,150000,77300,20498,692442,839,71,0,0.87,0,0,1
162,Christopher Weeks,37,150000,96901,11614,1072876,790,187,4,0.63,1,0,0
163,Jason Lee,35,50000,25261,3028,377348,721,42,3,0.99,0,1,1
164,Elizabeth Turner,57,200000,78407,34420,590142,750,75,3,0.92,0,0,1
165,Ryan Castro,35,150000,83011,11941,957835,722,45,1,0.85,0,0,1
166,Angel Acosta,30,150000,59256,35024,465221,768,242,2,0.75,1,0,0
167,Hannah Watts,44,50000,34009,700,244032,675,84,3,0.94,1,0,0
168,Peggy Pruitt,21,70000,44726,1364,184574,674,276,1,0.99,0,0,0
169,Gerald Wilcox,55,100000,38228,24819,670150,653,266,0,0.81,1,0,0
170,Joshua Wright,39,200000,77137,21549,609744,731,80,1,0.87,0,0,1
171,Michael King,52,40000,23860,4438,125123,677,135,2,0.82,0,0,0
172,Jenna Williams,39,150000,81267,13772,1122433,791,63,0,0.75,1,0,0
173,John Burns,25,150000,85909,35489,673497,703,180,0,0.67,0,0,0
174,Sandra Russell,26,30000,19854,1894,209335,780,106,2,0.83,0,1,1
175,Carol Ramirez,28,40000,27194,6083,186644,690,24,2,0.94,1,1,0
176,Christina Roth,37,40000,28181,8378,291867,743,261,4,0.65,0,1,0
177,Sharon Craig,28,50000,37226,6407,380280,746,176,4,0.63,0,1,0
178,Tim White,51,100000,40783,17381,285284,838,143,2,0.67,0,0,0
179,Todd Robinson,45,100000,59106,13986,208720,825,288,2,0.89,0,0,1
180,Terri Harris,53,200000,79844,49317,778260,725,178,3,0.7,0,1,0
181,Jennifer Schmidt,33,50000,34828,416,373836,818,252,3,0.72,0,0,0
182,Mr. Anthony Mora MD,38,200000,108544,28560,1390636,804,266,2,0.78,0,1,0
183,Tiffany Chan,53,70000,47510,13461,390623,769,98,0,0.65,0,0,0
184,Kevin Smith,50,50000,35616,6453,146124,770,96,4,0.68,0,0,0
185,Carol Ward,51,150000,79879,33528,748082,780,167,1,0.76,0,0,0
186,Dr. Lori Torres,42,70000,48582,2145,322054,824,270,4,0.99,0,0,1
187,Jonathan Williams,32,150000,75669,35789,1119578,787,134,0,0.8,1,1,0
188,Cindy Carpenter,45,50000,28184,10297,130944,697,198,3,0.8,1,0,0
189,Laura Heath,46,30000,14708,5683,164832,809,235,2,0.87,0,1,1
190,Jasmine Gonzalez MD,25,150000,90247,5724,939155,763,203,1,0.76,0,0,0
191,Kimberly Mitchell,53,40000,19368,9760,289653,783,133,2,0.94,0,0,1
192,Scott Chambers,44,30000,15794,487,208555,729,171,3,0.82,1,0,1
193,Kayla Morgan,57,100000,63156,16270,780717,730,90,2,0.66,0,0,0
194,Brenda Martinez,26,200000,103914,3323,401901,836,215,2,1.0,1,1,1
195,Lauren Wilson,34,150000,67017,10442,1106825,826,262,4,0.98,0,0,1
196,Terry Roberts,37,100000,72543,4645,786796,717,296,0,0.67,0,0,0
197,William Myers,57,30000,12326,1324,111365,702,103,1,0.95,0,0,0
198,Christopher Humphrey,23,40000,15117,6776,121476,846,231,3,0.71,1,1,0
199,Teresa Webster,58,70000,45752,8950,410491,778,79,2,0.83,1,0,1
200,Eduardo Robinson,39,150000,52991,33705,1138008,659,185,4,0.67,0,1,0
201,Holly Howard,58,30000,18277,5611,223075,841,105,2,0.89,1,0,1
202,Terry Flores,56,50000,27114,11644,312364,821,73,1,0.69,0,0,0
203,Jason Moore,37,150000,90153,13364,591138,769,213,3,0.8,0,0,0
204,Jordan Campbell,47,150000,83192,35383,337692,726,123,4,0.62,0,1,0
205,Thomas Johnson,59,50000,28703,1922,338030,696,114,4,0.93,1,1,0
206,Corey Pitts,52,70000,36925,9989,361369,744,44,0,0.66,0,0,0
207,Juan Clark,35,200000,121067,32728,1544912,738,144,0,0.84,1,0,1
208,Mia Marsh,35,40000,22946,5321,176554,708,88,0,0.71,0,0,0
209,Tara Snyder,29,50000,27296,6467,229706,675,53,1,0.72,0,1,0
210,Monica Brown,33,150000,111294,8470,850942,777,143,1,0.64,0,1,0
211,Claudia Cardenas,46,200000,146047,12230,1295357,800,157,3,0.82,0,0,1
212,Keith Harmon,40,50000,28420,7378,380395,790,22,0,0.68,0,0,0
213,Amber Farrell,58,50000,35715,10581,138249,839,215,0,0.72,1,0,0
214,Eric Blake,39,50000,32997,1621,236126,664,278,1,0.85,1,0,0
215,William Sherman,56,30000,16440,6349,150929,750,209,1,0.8,1,0,0
216,Noah Tanner,23,40000,18018,6042,291164,706,200,2,0.64,0,1,0
217,Kim Smith,27,50000,30796,4239,121151,750,106,0,0.89,0,0,1
218,Lucas Carroll,31,150000,70349,11113,953011,697,271,1,0.89,0,1,0
219,Jonathan Deleon,36,200000,140420,13996,527147,824,171,3,0.85,1,1,1
220,Adam Jordan,33,70000,51550,14564,259536,741,96,3,0.99,0,0,1
221,Alan Reed,32,100000,61449,17747,206415,803,187,0,0.93,0,0,1
222,Elijah Myers,24,50000,22376,1907,357756,694,264,3,0.78,1,1,0
223,Debra Barrett,57,200000,110903,47720,974300,766,299,1,0.75,1,1,0
224,Lindsay Turner,34,100000,43276,22505,513788,700,254,0,0.92,1,0,0
225,Wendy Sanchez MD,43,50000,17867,3897,291346,721,57,3,0.78,0,1,0
226,Dr. Christopher Bonilla,57,70000,25655,7553,161943,699,124,3,0.86,0,0,0
227,Amanda Owens,36,200000,109518,39582,970844,821,35,0,0.86,0,1,1
228,Dustin Carter,59,30000,18224,2513,66210,790,126,3,0.68,1,0,0
229,Chad Burns,40,200000,142655,4847,1127691,835,97,3,0.68,0,0,0
230,Melissa Flores,30,100000,67064,19792,786604,731,153,1,0.82,0,0,1
231,Jennifer Bailey,59,200000,129412,8994,1497333,804,142,2,0.95,0,0,1
232,Tiffany Garcia,28,150000,107817,5278,502407,739,62,2,0.65,0,0,0
233,Scott Ray,44,200000,131354,20805,420291,730,293,3,0.9,0,0,1
234,Jason Barrett,33,150000,82082,31754,840665,677,90,1,0.69,0,0,0
235,David Sanders,42,30000,16726,1049,152365,847,113,2,0.63,1,0,0
236,Dorothy Livingston,43,30000,14474,889,162669,726,81,4,0.85,0,0,1
237,Richard Rowe,50,150000,63555,7989,543956,662,35,0,0.89,1,0,0
238,Travis Diaz,22,100000,63968,22700,341412,662,101,0,0.97,0,0,0
239,Eric Delgado,24,30000,18770,801,207799,674,150,4,0.91,0,0,0
240,Jacob Gonzalez,30,50000,27606,8096,250791,687,63,0,0.66,0,1,0
241,Aaron Lopez,59,100000,62749,18989,711790,747,155,2,0.7,0,1,0
242,Stephanie Lewis,39,30000,18836,5771,104062,743,205,1,0.93,0,0,1
243,Joseph Scott,38,50000,29151,887,367633,687,79,1,0.62,0,0,0
244,Melanie Robles,22,40000,27526,2968,165023,670,62,3,0.96,0,1,0
245,Michael Ramos,44,70000,48980,2354,212571,845,97,1,0.85,1,1,1
246,John Barnett,46,150000,80730,1798,1093843,651,131,4,0.77,0,0,0
247,Alex Pearson,46,70000,36906,2900,552458,697,81,4,0.93,0,0,0
248,Beth Taylor,28,100000,61258,461,699132,761,188,4,0.61,0,0,0
249,Jesse Browning,29,70000,49629,15098,353814,722,80,4,0.88,0,0,1
250,Jennifer Blackwell,34,200000,79729,18169,706513,823,35,0,0.83,1,0,1
251,Bryan Jones,37,200000,92470,45511,764932,732,128,3,0.76,1,0,0
252,Phillip Livingston,38,50000,19034,1329,248551,699,161,1,0.84,0,0,0
253,Adam Fleming,30,40000,22913,8529,155613,782,295,1,0.74,1,0,0
254,Andrew Jackson,48,30000,17594,2360,69422,728,29,2,0.95,0,1,1
255,Melissa Hayes,54,200000,127042,2013,863698,728,179,0,0.61,0,0,0
256,Ryan Gould,48,200000,121733,47640,1353462,791,162,2,0.81,1,0,1
257,Carla Vance,54,50000,23979,8485,268959,797,277,1,0.96,0,1,1
258,Tammy Johnson,51,50000,37039,8026,109235,796,265,1,0.87,1,0,1
259,Erin Thompson,43,150000,94292,10168,567040,849,121,4,0.85,0,0,1
260,Carolyn Rivas,47,100000,43178,23317,358695,662,141,3,0.87,0,1,0
261,Janice Diaz,57,40000,16280,8382,255491,701,72,2,0.98,0,0,0
262,Victoria Jones,59,200000,95604,1859,833039,781,254,2,0.7,1,0,0
263,Jacob Cox,59,40000,27356,533,283417,835,280,0,0.8,0,0,0
264,Donald Dean,27,30000,19596,2949,208745,723,51,0,0.76,1,0,0
265,Justin Miller,49,200000,147452,39943,563948,725,49,4,0.8,0,0,0
266,Mary Walker,24,70000,38678,10396,437421,675,205,3,0.78,0,0,0
267,Keith Davis,27,200000,127208,31977,1196520,701,161,4,0.91,0,0,0
268,Alan Hall,59,150000,56782,28520,737009,813,35,1,0.71,0,0,0
269,Pamela Thomas,37,50000,19040,356,365244,650,204,0,0.76,0,0,0
270,Anthony Snow,24,40000,15116,2558,127234,794,175,1,0.76,0,0,0
271,Thomas Montgomery,52,30000,16900,6434,192615,842,220,0,0.95,0,0,1
272,Felicia Edwards,37,70000,52275,3200,337504,693,30,1,0.87,1,1,0
273,Mary Malone,59,150000,58503,22075,1000556,667,172,1,0.84,1,0,0
274,Elizabeth Webb,43,70000,28827,15512,255487,829,205,0,0.69,0,0,0
275,Julia Taylor,32,200000,137379,41151,677128,674,241,4,0.95,0,0,0
276,Sherri Burke,43,30000,12854,4110,141542,744,127,0,0.78,0,0,0
277,Samuel Fitzgerald,54,70000,37070,17136,543130,799,81,1,0.94,0,0,1
278,Tony Collins,30,100000,39327,16022,513909,839,157,3,0.9,0,1,1
279,Brian Montes,58,150000,98852,12175,966467,830,216,0,0.74,1,0,0
280,James Olsen,58,50000,22095,445,341359,716,152,1,0.98,0,0,0
281,Patrick Vargas,46,200000,111071,40479,1064374,734,233,2,0.84,0,1,1
282,Ashley Mccarthy,50,30000,14471,1267,144008,842,209,2,0.75,0,0,0
283,Mitchell Velasquez,55,200000,129236,22323,482209,659,297,1,0.63,1,0,0
284,Bailey Stewart,28,150000,93280,13170,582491,750,98,4,0.77,0,0,0
285,Jill Gonzalez,53,50000,22553,4089,261136,829,21,2,0.79,1,0,0
286,Chris Woodard,32,30000,20429,2700,168022,730,289,1,0.82,0,0,1
287,Jenna Hansen,35,70000,33787,3176,242669,715,298,4,0.69,0,0,0
288,Kenneth Austin,35,40000,20207,3835,83771,669,74,1,0.63,0,1,0
289,Dr. Amber Campbell,50,200000,96469,47732,799687,807,247,4,0.68,0,1,0
290,Mitchell Morton,28,50000,27574,2022,210796,662,174,2,0.64,0,0,0
291,Cheryl Campbell,46,30000,21787,1512,115759,722,169,0,0.84,0,0,1
292,Jennifer Meza,49,40000,21741,2184,224707,687,273,1,0.9,0,1,0
293,Marie Burgess,27,40000,20985,924,299828,700,223,0,0.85,0,0,0
294,Matthew Fields,21,100000,64207,7466,525741,773,31,3,0.97,0,0,1
295,Howard White,43,50000,22241,4045,244393,751,136,4,0.84,0,0,1
296,Danielle Woods,32,150000,66003,15404,1089163,652,126,2,0.65,0,1,0
297,Dr. Leslie Wyatt,48,150000,81720,15950,682950,714,22,3,0.6,1,0,0
298,Susan Shea,58,70000,44252,13948,426303,693,34,3,0.72,0,0,0
299,John Ryan,40,200000,77460,46044,812752,815,199,1,0.6,0,0,0
300,Scott Harris,38,40000,16976,2547,153184,778,275,0,0.73,0,1,0
301,Barbara Rodriguez,37,30000,21091,7083,78100,680,53,1,0.86,1,1,0
302,Jacob Kaufman,21,40000,22353,3309,210186,817,118,1,0.88,1,0,1
303,Gabriela Moyer,35,70000,44194,5234,458538,700,260,4,0.92,0,1,0
304,Larry Paul,58,200000,135995,25228,1499762,701,177,2,0.66,1,0,0
305,Daniel Mcdonald,22,100000,61969,8401,301866,730,265,2,0.8,0,1,0
306,Taylor Barron,28,100000,51180,7287,340643,700,251,2,0.82,0,0,0
307,Raymond Rhodes,55,40000,27316,4593,243081,796,125,0,0.67,1,1,0
308,Deborah Rollins,49,40000,17954,175,228609,657,205,0,0.96,1,0,0
309,Steven Greer MD,56,100000,62990,5139,242863,772,188,2,0.72,0,0,0
310,Amy Simpson,35,40000,27325,192,106928,797,262,2,0.67,0,1,0
311,Angel Dean,41,200000,126716,11299,1187695,753,179,1,0.82,0,1,1
312,Lisa Hawkins,26,40000,14860,9243,238812,835,199,4,0.65,1,1,0
313,Kevin Harris,34,40000,19742,4052,297338,672,191,2,0.77,1,1,0
314,Diane Brown,29,50000,17939,11700,370822,845,231,4,0.9,0,0,1
315,Elizabeth Howard,27,200000,142002,46303,1357844,735,65,1,0.75,1,0,0
316,Michael Wright,50,100000,47459,5702,390208,772,165,2,0.63,0,0,0
317,Kimberly Smith,21,50000,21178,5807,104097,736,245,0,0.75,0,1,0
318,Brian Johnson DDS,35,70000,46849,2226,306295,702,62,1,0.71,1,0,0
319,Jacob Ford,27,100000,58336,24625,257750,690,187,2,0.8,0,1,0
320,Melinda Cantu,38,200000,82806,4885,1025181,806,240,3,0.78,0,0,0
321,David Torres,47,40000,15495,2108,137294,727,160,1,0.81,1,1,1
322,Leah Chase,33,50000,18117,2517,180271,776,214,3,0.97,0,0,1
323,Timothy Dean,29,70000,48673,2785,146336,746,172,1,0.66,0,0,0
324,Madeline Patel,40,50000,30105,5525,288590,824,230,1,0.67,0,0,0
325,Andrea Frye,22,30000,18449,2784,176281,749,42,3,0.89,0,0,1
326,Lori Wright,41,40000,24925,8974,159817,714,62,0,0.95,0,0,0
327,Adrian Weber,24,50000,34793,11575,107141,704,252,3,0.96,0,0,0
328,Christina Hernandez,55,200000,104365,26688,1546343,760,271,1,0.66,0,0,0
329,Johnathan Butler,30,30000,10553,3759,186870,740,134,0,0.63,0,0,0
330,Alan Lopez,58,40000,28375,1904,315822,833,247,1,0.66,0,0,0
331,Jacob Peterson,44,30000,21598,6902,111823,652,233,2,0.92,0,0,0
332,Roy Lewis,48,100000,36605,13664,252966,761,85,3,0.74,0,0,0
333,Richard Odonnell,57,50000,18214,9584,301213,709,207,1,0.88,0,1,0
334,Elizabeth Meyers DVM,31,150000,58706,8668,654753,741,244,2,0.79,1,0,0
335,Michael Mitchell,43,150000,76602,17190,1063765,744,130,1,0.93,0,0,1
336,Katherine Morton,36,30000,13760,5759,213526,697,298,1,0.94,0,0,0
337,Anthony Becker,33,150000,85276,8191,788169,799,291,2,0.87,0,1,1
338,Steven Lawson,56,200000,79920,46092,607517,725,93,0,0.83,1,0,1
339,Jessica Rowe,36,100000,72009,6193,713140,760,145,2,0.64,1,0,0
340,Jermaine Wells,42,100000,56525,2183,755648,708,284,4,0.89,0,0,0
341,Mr. Daniel Kennedy PhD,54,40000,24716,2688,178471,797,94,1,0.89,0,1,1
