customer_id,customer_name,age,monthly_income,monthly_expense,existing_emi,avg_balance,credit_score,digital_transactions,loan_inquiries,salary_consistency,property_interest,vehicle_interest,conversion,avg_salary_credit,avg_monthly_spending,avg_account_balance,foir,repayment_capacity,behavior_score,lead_score
40,Alan Graham,43,50000,25229,7055,157534,738,149,2,0.9,0,0,1,49193.75,23855.0,154080.75,14.11,17716,76.9470588235294,100.0
41,Kenneth Johnson,41,100000,67061,23989,492712,837,210,4,0.94,0,0,1,100446.83333333333,68147.41666666667,493223.5833333333,23.99,8950,88.14117647058823,100.0
42,Jason Patel,37,100000,55343,9689,477168,788,230,2,0.67,0,0,0,102542.58333333333,56013.416666666664,476064.0833333333,9.69,34968,77.61176470588235,100.0
43,Erik Camacho,40,100000,62039,12401,207628,798,141,0,0.7,0,0,0,98554.08333333333,63772.0,209101.66666666666,12.4,25560,70.26470588235294,100.0
44,William Sosa,54,50000,23718,9279,344535,804,85,0,0.75,0,0,0,49861.083333333336,23027.416666666668,343234.3333333333,18.56,17003,66.87647058823529,100.0
45,Christopher Olson,24,150000,81695,22476,841931,837,79,2,0.8,0,0,0,150418.33333333334,81614.75,841472.6666666666,14.98,45829,69.44117647058825,100.0
46,Aaron Reilly,39,40000,27643,2255,170459,713,68,4,0.78,0,0,0,39976.0,27709.166666666668,170465.41666666666,5.64,10102,63.16470588235294,100.0
47,Mary Baldwin,52,50000,36767,7002,381046,819,173,3,0.92,0,0,1,50033.75,35461.5,378635.75,14.0,6231,83.00588235294119,100.0
48,Thomas Rodgers,30,50000,18539,9828,160409,784,296,3,0.82,1,1,1,49251.166666666664,17910.083333333332,161423.41666666666,19.66,21633,90.07058823529411,100.0
49,Angela Olson,23,50000,23038,12294,142213,778,27,4,0.89,1,0,1,50542.5,25404.583333333332,141710.58333333334,24.59,14668,65.75882352941177,100.0
50,Carlos Mitchell,41,70000,47627,1761,240747,829,53,0,0.9,0,0,1,69072.75,47346.416666666664,235569.75,2.52,20612,70.55882352941177,100.0
51,Kevin Mckinney Jr.,58,150000,104373,20499,642360,679,103,0,0.62,1,1,0,148104.91666666666,108273.25,645298.1666666666,13.67,25128,59.06470588235294,100.0
52,Russell Wright,50,70000,40818,17420,499392,798,295,4,0.84,0,0,1,69278.5,41280.666666666664,499632.5,24.89,11762,91.26470588235294,100.0
53,Candace Richards,39,70000,37649,7883,338647,748,161,2,0.78,0,0,0,70046.16666666667,36766.833333333336,339892.0833333333,11.26,24468,73.7,100.0
54,Michelle Norman,43,150000,67956,2232,843415,731,165,1,0.87,1,0,1,148925.08333333334,67904.75,843682.1666666666,1.49,79812,77.1,100.0
55,Christopher Thompson,58,70000,35346,14907,309637,822,92,4,0.94,0,0,1,70454.33333333333,33138.25,312810.3333333333,21.3,19747,75.81176470588235,100.0
56,Wesley Coleman,25,150000,54152,18954,1167615,653,173,2,0.68,1,0,0,150719.41666666666,54333.0,1166781.1666666667,12.64,76894,67.54705882352941,100.0
57,Robert Martin,48,200000,81135,22202,1151481,788,292,2,0.95,0,0,1,202925.25,80600.16666666667,1148652.5833333333,11.1,96663,95.01176470588236,100.0
58,Tammy Rodriguez,37,50000,35389,5699,233036,824,258,3,0.92,0,1,1,50476.583333333336,36127.666666666664,233465.41666666666,11.4,8912,91.68235294117648,100.0
59,Duane Hill,21,70000,44100,1827,307622,683,279,2,0.74,0,1,0,70434.33333333333,42711.333333333336,306853.5,2.61,24073,81.60588235294118,100.0
60,Stephanie Woods,40,40000,17870,7139,277408,801,41,3,0.66,1,0,0,40317.583333333336,17441.75,277324.1666666667,17.85,14991,58.77058823529412,100.0
61,Andrew Johnson,33,100000,73641,19025,770463,824,113,0,0.64,1,0,0,95174.91666666667,74709.5,772349.1666666666,19.02,7334,65.98235294117647,100.0
62,Kristen Kline,30,150000,67013,34165,1054438,730,157,2,0.8,0,0,0,149094.75,68301.0,1057913.0833333333,22.78,48822,73.46470588235294,100.0
63,Dr. Tracy Macias,23,100000,44129,6165,490446,728,143,3,0.62,1,1,0,103409.83333333333,44203.416666666664,489143.3333333333,6.16,49706,64.79411764705883,100.0
64,Joe Medina,52,100000,72962,24057,572545,711,105,1,0.82,0,0,0,104724.66666666667,74661.91666666667,571600.9166666666,24.06,2981,68.39411764705882,100.0
65,Monique Hayes,29,100000,35361,8925,755716,819,274,2,0.62,1,0,0,98737.25,35508.083333333336,756784.8333333334,8.92,55714,81.10588235294117,100.0
66,Paul Johnston,21,30000,12278,5096,100480,717,216,2,0.83,0,0,0,30270.666666666668,12025.916666666666,102244.0,16.99,12626,80.10588235294117,100.0
67,George Sims,26,100000,63925,5014,322147,734,231,2,0.95,0,0,1,98958.5,66232.58333333333,323094.6666666667,5.01,31061,87.00588235294117,100.0
68,Michelle Smith,37,30000,15885,1192,92435,816,217,0,0.65,0,1,0,29863.25,15643.833333333334,92123.16666666667,3.97,12923,76.5,100.0
69,Dawn Ward,47,150000,59609,36056,942969,796,223,2,0.95,1,0,1,153417.0,60881.75,945483.5,24.04,54335,88.39411764705882,100.0
70,Daniel Holloway,34,200000,103466,37546,521647,678,299,1,0.98,1,0,0,203987.75,100433.91666666667,520879.1666666667,18.77,58988,93.02941176470588,100.0
71,Alicia Tran PhD,56,50000,29453,10826,384020,803,285,4,0.98,1,1,1,50162.416666666664,29860.083333333332,382155.0833333333,21.65,9721,96.04117647058824,100.0
72,Brandon Brooks,53,30000,10689,578,224010,710,180,2,0.84,0,0,0,31058.333333333332,10918.083333333334,222711.33333333334,1.93,18733,76.65882352941176,100.0
73,Donna Shannon,33,70000,41026,7133,337200,737,226,0,0.91,0,0,1,70006.41666666667,42976.833333333336,334147.5833333333,10.19,21841,85.01176470588234,100.0
74,Matthew Holland,37,70000,48545,13096,324468,678,258,4,0.76,1,0,0,68859.0,46725.5,324950.4166666667,18.71,8359,80.12941176470588,100.0
75,Nicholas Kidd,33,150000,87024,830,1150602,697,264,4,0.73,0,0,0,146606.83333333334,89746.66666666667,1150362.5,0.55,62146,80.19999999999999,100.0
76,David Harvey,32,200000,113340,48403,479877,706,68,4,0.78,0,1,0,202787.83333333334,109130.33333333333,479020.5833333333,24.2,38257,62.91764705882353,100.0
77,Vicki Lewis,36,200000,118432,21658,1329163,711,189,4,0.89,0,0,0,205708.91666666666,120642.41666666667,1332694.1666666667,10.83,59910,79.59411764705882,100.0
78,Michael Baird,28,30000,16067,1980,134743,745,182,4,0.85,1,1,1,29608.333333333332,15703.75,137944.66666666666,6.6,11953,78.49411764705883,100.0
79,Erin Mercado,52,70000,25590,14649,400201,748,22,4,0.95,0,0,1,72214.66666666667,26992.416666666668,398317.5833333333,20.93,29761,66.60000000000001,100.0
80,Hector Villanueva,24,30000,12652,5288,141930,824,228,4,0.98,0,0,1,30510.333333333332,12774.833333333334,144675.66666666666,17.63,12060,91.08235294117647,100.0
81,Alicia Sanchez,28,200000,137791,3119,802334,702,138,3,0.93,1,1,0,194792.16666666666,128768.41666666667,803785.9166666666,1.56,59090,75.7764705882353,100.0
82,James Parrish,48,150000,100728,5143,822629,817,147,2,0.6,0,1,0,151373.0,108030.0,820052.0,3.43,44129,67.53529411764706,100.0
83,Jeremy Pruitt,46,150000,91184,8618,797396,674,179,2,0.66,0,0,0,152560.91666666666,89907.75,794320.0833333334,5.75,50198,68.08823529411765,100.0
84,James Allison,28,50000,22262,11355,240420,805,208,1,0.9,0,0,1,50181.583333333336,22280.416666666668,241466.66666666666,22.71,16383,85.21176470588235,100.0
85,Martin Bennett,37,30000,13343,5080,161840,800,75,1,0.73,1,0,0,30338.916666666668,12768.0,164005.5,16.93,11577,64.93529411764706,100.0
86,Sean Davis,47,30000,13379,5325,109130,768,161,4,0.78,0,0,0,30298.666666666668,12593.5,107489.33333333333,17.75,11296,74.40588235294118,100.0
87,Taylor Rose,25,150000,106644,12898,959700,845,110,1,0.64,1,0,0,150693.66666666666,97542.75,958866.5833333334,8.6,30458,66.4235294117647,100.0
88,Shane Richardson,41,200000,135655,23867,820982,657,209,0,0.73,0,0,0,200992.91666666666,134823.5,822953.1666666666,11.93,40478,73.28823529411764,100.0
89,Jacob Cook,44,100000,52527,22481,777356,748,183,4,0.81,0,0,1,99688.5,52206.333333333336,777143.75,22.48,24992,77.10000000000001,100.0
90,Tammy Ramos,52,40000,27507,4840,203382,655,131,2,0.82,1,0,0,40967.75,26853.5,206287.16666666666,12.1,7653,69.01764705882353,100.0
91,Edgar Carroll,54,40000,17741,237,280387,822,228,1,0.97,0,0,1,38746.75,17676.583333333332,283538.0,0.59,22022,90.61176470588235,100.0
92,Daniel Thomas,27,100000,69825,18977,636517,792,247,3,0.66,0,1,0,102200.0,69493.75,635201.0,18.98,11198,79.0529411764706,100.0
93,Todd Chan,27,70000,51863,13891,416957,834,208,2,0.99,1,0,1,70452.33333333333,53360.333333333336,415756.8333333333,19.84,4246,89.83529411764705,100.0
94,Mr. Matthew Saunders DDS,45,100000,53562,23576,394291,754,61,4,0.86,0,0,1,100682.5,55118.333333333336,393707.5833333333,23.58,22862,67.11176470588235,100.0
95,Jennifer Stewart,34,200000,125826,45013,1350629,810,183,3,0.98,0,0,1,195138.91666666666,128525.58333333333,1348153.4166666667,22.51,29161,86.08823529411764,100.0
96,Virginia Vega,42,40000,23714,3887,137671,778,231,3,0.64,0,1,0,40581.5,24450.0,137569.58333333334,9.72,12399,76.15882352941176,100.0
97,Jasmine Patrick,46,200000,116845,27068,503238,688,287,2,0.86,1,0,0,206005.33333333334,126160.16666666667,500781.4166666667,13.53,56087,87.38235294117648,100.0
98,Nicole Harris,46,30000,11244,2544,151067,727,54,3,1.0,0,0,1,29698.166666666668,10749.25,151941.91666666666,8.48,16212,71.05882352941177,100.0
99,Morgan King,47,150000,61401,6453,1090892,748,66,2,0.77,0,0,0,152212.16666666666,64397.25,1091062.5833333333,4.3,82146,63.800000000000004,100.0
100,Nicole Cooley,59,100000,39658,3177,313570,815,205,0,0.93,0,0,1,97930.58333333333,38416.833333333336,312897.6666666667,3.18,57165,86.46470588235294,100.0
101,William Pierce,23,200000,85533,23721,408800,844,64,4,1.0,0,0,1,196820.5,84448.91666666667,408371.1666666667,11.86,90746,76.18823529411765,100.0
102,Tamara Stephens,23,40000,23589,7286,155687,743,288,4,0.64,0,1,0,40317.083333333336,24173.75,157387.0,18.22,9125,80.62352941176471,100.0
103,Stephanie Jenkins,55,70000,52334,193,446672,734,251,4,1.0,0,0,1,69917.0,50651.75,443770.8333333333,0.28,17473,91.00588235294117,100.0
104,Stanley Zuniga,31,150000,58780,4822,816465,801,38,1,0.89,0,0,1,152020.58333333334,57532.75,815805.1666666666,3.21,86398,67.67058823529412,100.0
105,David Davenport,24,30000,10741,1153,219510,654,295,1,0.95,1,0,0,30361.0,10360.333333333334,218915.25,3.84,18106,90.58235294117647,100.0
106,Benjamin Mitchell,55,40000,17305,3132,232656,708,163,0,0.75,1,1,0,40921.333333333336,17425.0,231449.75,7.83,19563,71.28823529411764,100.0
107,Sarah Gray,52,150000,104010,4938,934536,840,219,3,0.85,0,0,1,154041.16666666666,104600.41666666667,933985.4166666666,3.29,41052,85.54705882352941,100.0
108,Nathan Davidson,33,30000,12087,7331,164873,765,260,4,0.99,0,0,1,30322.916666666668,12526.333333333334,163077.66666666666,24.44,10582,92.6,100.0
109,Juan Ayala,42,150000,97037,6293,408327,759,116,1,0.89,0,0,1,151223.16666666666,95050.16666666667,407018.6666666667,4.2,46670,73.98823529411764,100.0
110,Gabriel Wiggins,49,100000,56386,21469,395528,691,203,2,0.61,1,0,0,100404.66666666667,58249.5,394185.4166666667,21.47,22145,69.08823529411765,100.0
111,Connie Mullins,46,70000,46044,16358,521864,770,206,3,0.84,0,1,1,70993.16666666667,47131.166666666664,521299.0833333333,23.37,7598,81.37647058823529,100.0
112,Jennifer Graham,55,200000,120285,31663,940338,818,170,2,0.93,0,1,1,199082.41666666666,119164.83333333333,943780.4166666666,15.83,48052,83.07058823529412,100.0
113,Monica Smith,58,30000,11466,1103,113635,794,235,4,0.94,0,0,1,29741.666666666668,11983.583333333334,114190.66666666667,3.68,17431,89.12352941176471,100.0
114,Joseph Gates,53,40000,22856,2992,183405,833,150,2,0.92,1,1,1,40461.5,23124.833333333332,184692.75,7.48,14152,81.2,100.0
115,Teresa Rodriguez,56,40000,14353,3579,160078,730,273,3,0.9,1,1,1,39693.5,14316.75,160130.91666666666,8.95,22068,89.06470588235294,100.0
116,Janice Norman,34,200000,127539,46508,1033105,683,188,1,0.89,0,0,0,199794.91666666666,128621.0,1032387.4166666666,23.25,25953,78.50588235294119,100.0
117,William Giles,46,150000,102684,32343,584397,723,164,2,0.9,0,0,1,151595.16666666666,102000.5,584229.75,21.56,14973,77.91764705882352,100.0
118,Joshua Terry,31,40000,29521,8650,224190,689,108,3,0.94,0,0,0,39729.083333333336,30382.5,222253.08333333334,21.62,1829,72.71764705882352,100.0
119,Corey Wagner,48,50000,23519,2300,326935,714,30,3,0.85,0,0,0,49654.166666666664,23739.833333333332,325843.0,4.6,24181,62.2,100.0
120,Sandra Wood,35,150000,71118,14967,518031,659,23,1,0.62,0,0,0,145477.75,71378.41666666667,516555.9166666667,9.98,63915,50.358823529411765,100.0
121,Amanda Holmes,54,200000,142794,35863,1098484,760,46,3,0.98,0,0,1,201301.66666666666,146597.66666666666,1097927.5,17.93,21343,70.62352941176471,100.0
122,Christopher Duncan,41,30000,19145,2113,93174,698,284,0,0.91,0,0,0,30116.333333333332,19454.583333333332,93541.0,7.04,8742,89.43529411764706,100.0
123,Kim Gardner,40,70000,27730,15219,338335,761,217,2,0.7,0,1,0,69743.66666666667,28474.75,340535.4166666667,21.74,27051,76.55882352941177,100.0
124,Andrew Nunez,48,70000,46732,10088,283669,725,167,0,0.68,1,0,0,68862.16666666667,43695.75,286036.6666666667,14.41,13180,69.48823529411764,100.0
125,Randy Francis,45,30000,19467,359,230733,757,197,1,0.72,1,0,0,30591.166666666668,18396.25,235477.41666666666,1.2,10174,75.21764705882353,100.0
126,Lauren Davis,39,100000,50636,24411,772799,652,187,2,0.71,0,1,0,102290.16666666667,50077.75,772112.0833333334,24.41,24953,70.11176470588235,100.0
127,Patrick James,31,100000,54680,7755,309058,809,39,0,0.62,0,0,0,99503.16666666667,55726.083333333336,307784.6666666667,7.75,37565,57.25294117647059,100.0
128,William Stout,47,40000,18119,1356,142411,687,245,4,0.93,1,0,0,40985.583333333336,18340.0,137764.66666666666,3.39,20525,85.94705882352942,100.0
129,James Gardner,32,70000,39208,1155,548478,826,237,4,0.9,0,0,1,71015.25,38718.25,549196.5,1.65,29637,88.8529411764706,100.0
130,Mr. William Butler Jr.,27,200000,101727,6243,1030534,825,185,4,0.73,0,0,0,196295.0,104684.58333333333,1029146.25,3.12,92030,76.81764705882352,100.0
131,Robert Kerr,44,150000,89773,1802,735217,673,54,3,0.69,0,1,0,148598.75,89420.91666666667,736323.8333333334,1.2,58425,56.752941176470586,100.0
132,Mark Weaver,39,30000,11786,3176,141426,758,200,3,0.67,1,1,0,29244.5,12132.333333333334,140502.08333333334,10.59,15038,73.55294117647058,100.0
133,Matthew Morgan,56,40000,18287,9122,231962,802,162,1,0.61,0,0,0,40122.833333333336,18390.75,233253.41666666666,22.8,12591,68.90588235294118,100.0
134,Roberto Montgomery,33,200000,148894,41042,737772,838,265,0,0.86,1,1,1,197407.41666666666,154591.58333333334,735336.5833333334,20.52,10064,90.47647058823529,100.0
135,Joshua Wilson,29,50000,34531,10797,222032,777,230,2,0.61,0,0,0,50869.75,32409.0,220663.41666666666,21.59,4672,74.8235294117647,100.0
136,Brandi Harrison,49,40000,28637,3354,308543,816,159,2,0.85,1,0,1,38815.25,28778.916666666668,306995.3333333333,8.38,8009,78.7,100.0
137,Beverly Anderson,31,200000,134042,42282,1162317,792,61,0,0.61,1,1,0,199528.58333333334,133944.25,1162095.25,21.14,23676,58.45294117647059,100.0
138,Ann Frost,55,50000,20498,6719,272737,743,193,4,0.99,0,0,1,49472.5,20279.0,271413.6666666667,13.44,22783,85.12352941176471,100.0
139,Annette Deleon,32,100000,69131,21403,259542,761,191,0,0.64,0,0,0,96451.41666666667,69475.66666666667,259231.91666666666,21.4,9466,71.55882352941177,100.0
140,Scott Simmons,37,50000,22266,9924,245944,733,215,1,0.7,1,0,0,47839.75,22789.5,245242.08333333334,19.85,17810,75.37058823529412,100.0
141,Robert Campbell,37,150000,82081,3072,476382,758,210,2,0.75,1,0,0,147077.91666666666,80644.75,476623.75,2.05,64847,77.75294117647059,100.0
142,Laura Hall,30,50000,37371,2186,301793,716,200,3,0.87,0,0,0,49743.166666666664,35640.333333333336,302060.1666666667,4.37,10443,80.07058823529411,100.0
143,Kelly Herrera,35,50000,30273,1765,376188,725,175,3,0.6,1,0,0,50231.166666666664,29487.916666666668,377001.0,3.53,17962,67.08823529411765,100.0
144,Nathaniel Palmer,23,200000,141517,45989,513819,755,77,0,0.9,0,0,1,200234.83333333334,144858.25,513888.9166666667,22.99,12494,70.34705882352941,100.0
145,Mark Martin,39,50000,18748,4799,233332,681,216,0,0.77,1,0,0,50854.666666666664,18682.833333333332,234692.58333333334,9.6,26453,76.43529411764706,100.0
146,Brian Chen,40,30000,15615,3317,180360,844,31,1,0.62,0,0,0,30338.25,16312.916666666666,179695.0,11.06,11068,57.68823529411765,100.0
147,Ashley Porter,48,70000,34489,2874,351562,669,189,3,0.85,0,0,0,70648.08333333333,36656.666666666664,347955.4166666667,4.11,32637,76.51176470588234,100.0
148,Ricardo Martin,56,40000,17332,2052,125484,728,92,1,0.95,1,0,1,39833.583333333336,17322.333333333332,126985.66666666667,5.13,20616,72.89411764705882,100.0
149,Michael Lewis,43,150000,88536,2342,949102,815,231,1,0.99,0,1,1,149101.16666666666,92573.5,950569.5833333334,1.56,59122,91.46470588235294,100.0
150,William Hess,44,200000,72067,11088,1336565,743,244,1,0.94,0,0,1,196641.41666666666,77015.5,1338218.6666666667,5.54,116845,88.2235294117647,100.0
151,Larry Coleman,49,50000,26698,7587,156549,762,184,4,0.71,0,0,0,49334.0,26216.0,156922.08333333334,15.17,15715,73.69411764705882,100.0
152,Brian Thompson,39,30000,21451,6553,150327,799,65,0,0.79,0,0,0,30539.166666666668,22085.666666666668,149651.75,21.84,1996,66.3,100.0
153,Noah Osborn,21,70000,51735,5002,169866,661,189,1,0.88,0,0,0,69662.16666666667,50045.25,169306.0,7.15,13263,77.42941176470589,100.0
154,Shannon Hess,40,40000,26683,2791,235127,685,222,3,0.65,1,0,0,39922.666666666664,25123.416666666668,233462.41666666666,6.98,10526,72.37647058823529,100.0
155,Derek Martinez,56,70000,49791,1724,237473,799,165,3,0.65,0,0,0,70197.5,49386.5,239392.41666666666,2.46,18485,70.7,100.0
156,Michael Hunter,35,50000,25657,3592,267363,690,234,3,0.78,1,0,0,49751.833333333336,25788.0,269244.5833333333,7.18,20751,78.95294117647059,100.0
157,Craig White II,25,200000,92846,48080,775413,756,164,0,0.64,0,0,0,205078.5,94348.91666666667,776063.25,24.04,59074,68.68235294117648,100.0
158,Evan Conrad,41,40000,16671,1211,100498,759,134,1,0.72,0,0,0,39966.416666666664,17085.916666666668,99433.58333333333,3.03,22118,68.98823529411764,100.0
159,Diana Singh,30,200000,144538,10343,829862,812,272,0,0.96,1,0,1,198479.41666666666,150068.83333333334,828286.5833333334,5.17,45119,94.25882352941177,100.0
160,Jeffrey Elliott,46,150000,91744,19184,443032,737,230,0,0.79,0,1,0,153082.33333333334,92388.0,442835.1666666667,12.79,39072,80.61176470588235,100.0
161,Cristina Silva,58,150000,77300,20498,692442,839,71,0,0.87,0,0,1,152746.08333333334,73246.08333333333,692444.75,13.67,52202,71.51176470588234,100.0
162,Christopher Weeks,37,150000,96901,11614,1072876,790,187,4,0.63,1,0,0,147777.41666666666,95017.16666666667,1072115.75,7.74,41485,71.78235294117647,100.0
163,Jason Lee,35,50000,25261,3028,377348,721,42,3,0.99,0,1,1,50009.166666666664,23760.666666666668,380025.8333333333,6.06,21711,69.24705882352941,100.0
164,Elizabeth Turner,57,200000,78407,34420,590142,750,75,3,0.92,0,0,1,196800.58333333334,85893.66666666667,589736.75,17.21,87173,70.77058823529413,100.0
165,Ryan Castro,35,150000,83011,11941,957835,722,45,1,0.85,0,0,1,150766.0,85882.0,955299.6666666666,7.96,55048,63.98235294117647,100.0
166,Angel Acosta,30,150000,59256,35024,465221,768,242,2,0.75,1,0,0,147442.25,60909.75,465051.0,23.35,55720,81.30588235294118,100.0
167,Hannah Watts,44,50000,34009,700,244032,675,84,3,0.94,1,0,0,48866.833333333336,32256.75,242926.83333333334,1.4,15291,69.8235294117647,100.0
168,Peggy Pruitt,21,70000,44726,1364,184574,674,276,1,0.99,0,0,0,69617.75,44801.666666666664,182969.0,1.95,23910,90.98823529411766,100.0
169,Gerald Wilcox,55,100000,38228,24819,670150,653,266,0,0.81,1,0,0,100252.0,38566.666666666664,670303.5,24.82,36953,82.04705882352943,100.0
170,Joshua Wright,39,200000,77137,21549,609744,731,80,1,0.87,0,0,1,205342.91666666666,77763.33333333333,610697.0,10.77,101314,68.6,100.0
171,Michael King,52,40000,23860,4438,125123,677,135,2,0.82,0,0,0,39723.166666666664,23675.833333333332,125613.25,11.1,11702,70.19411764705882,100.0
